date,store_nbr,sales
2013-01-01,1,0.0
2013-01-01,2,0.0
2013-01-01,3,0.0
2013-01-01,4,0.0
2013-01-01,5,0.0
2013-01-01,6,0.0
2013-01-01,7,0.0
2013-01-01,8,0.0
2013-01-01,9,0.0
2013-01-01,10,0.0
2013-01-01,11,0.0
2013-01-01,12,0.0
2013-01-01,13,0.0
2013-01-01,14,0.0
2013-01-01,15,0.0
2013-01-01,16,0.0
2013-01-01,17,0.0
2013-01-01,18,0.0
2013-01-01,19,0.0
2013-01-01,20,0.0
2013-01-01,21,0.0
2013-01-01,22,0.0
2013-01-01,23,0.0
2013-01-01,24,0.0
2013-01-01,25,2511.618999
2013-01-01,26,0.0
2013-01-01,27,0.0
2013-01-01,28,0.0
2013-01-01,29,0.0
2013-01-01,30,0.0
2013-01-01,31,0.0
2013-01-01,32,0.0
2013-01-01,33,0.0
2013-01-01,34,0.0
2013-01-01,35,0.0
2013-01-01,36,0.0
2013-01-01,37,0.0
2013-01-01,38,0.0
2013-01-01,39,0.0
2013-01-01,40,0.0
2013-01-01,41,0.0
2013-01-01,42,0.0
2013-01-01,43,0.0
2013-01-01,44,0.0
2013-01-01,45,0.0
2013-01-01,46,0.0
2013-01-01,47,0.0
2013-01-01,48,0.0
2013-01-01,49,0.0
2013-01-01,50,0.0
2013-01-01,51,0.0
2013-01-01,52,0.0
2013-01-01,53,0.0
2013-01-01,54,0.0
2013-01-02,1,7417.148
2013-01-02,2,10266.718981
2013-01-02,3,24060.347999999998
2013-01-02,4,10200.08398
2013-01-02,5,10598.61902
2013-01-02,6,13520.485002
2013-01-02,7,11997.502
2013-01-02,8,14659.328
2013-01-02,9,15867.484
2013-01-02,10,5430.088
2013-01-02,11,18329.638
2013-01-02,12,5854.517
2013-01-02,13,5516.831
2013-01-02,14,7698.253
2013-01-02,15,6577.805
2013-01-02,16,6242.572
2013-01-02,17,7673.513
2013-01-02,18,8204.567000000001
2013-01-02,19,5615.389008
2013-01-02,20,0.0
2013-01-02,21,0.0
2013-01-02,22,0.0
2013-01-02,23,6560.3369999999995
2013-01-02,24,11018.852996
2013-01-02,25,5316.224
2013-01-02,26,5653.4130000000005
2013-01-02,27,7207.547
2013-01-02,28,5176.474
2013-01-02,29,0.0
2013-01-02,30,2623.009
2013-01-02,31,6637.56
2013-01-02,32,2441.508
2013-01-02,33,5720.770998
2013-01-02,34,7749.693
2013-01-02,35,2978.224
2013-01-02,36,0.0
2013-01-02,37,11111.838999
2013-01-02,38,9198.507
2013-01-02,39,9956.37101
2013-01-02,40,4965.014
2013-01-02,41,5205.8330000000005
2013-01-02,42,0.0
2013-01-02,43,6054.335
2013-01-02,44,30095.181
2013-01-02,45,27612.05095
2013-01-02,46,27149.920000000002
2013-01-02,47,27263.11101
2013-01-02,48,19700.0
2013-01-02,49,16281.845
2013-01-02,50,16576.132
2013-01-02,51,15134.49099
2013-01-02,52,0.0
2013-01-02,53,0.0
2013-01-02,54,4973.285
2013-01-03,1,5873.244001
2013-01-03,2,7612.54
2013-01-03,3,18570.745025
2013-01-03,4,7400.245
2013-01-03,5,7770.968
2013-01-03,6,9929.393
2013-01-03,7,9277.958
2013-01-03,8,10781.243
2013-01-03,9,10431.719
2013-01-03,10,4549.52998
2013-01-03,11,12356.20504
2013-01-03,12,4460.164
2013-01-03,13,4852.438995
2013-01-03,14,6158.575996
2013-01-03,15,5691.447
2013-01-03,16,5316.415
2013-01-03,17,5523.241
2013-01-03,18,5107.041
2013-01-03,19,3783.087
2013-01-03,20,0.0
2013-01-03,21,0.0
2013-01-03,22,0.0
2013-01-03,23,4911.2040099999995
2013-01-03,24,10086.240998
2013-01-03,25,4442.91302
2013-01-03,26,3477.5589999999997
2013-01-03,27,4387.566
2013-01-03,28,4142.304
2013-01-03,29,0.0
2013-01-03,30,2538.315003
2013-01-03,31,5437.826
2013-01-03,32,2589.699001
2013-01-03,33,5167.402
2013-01-03,34,6246.722
2013-01-03,35,2699.277
2013-01-03,36,0.0
2013-01-03,37,9335.661
2013-01-03,38,7860.617
2013-01-03,39,6986.445
2013-01-03,40,4484.8279999999995
2013-01-03,41,3699.1169999999997
2013-01-03,42,0.0
2013-01-03,43,5206.779
2013-01-03,44,20447.057
2013-01-03,45,17377.98097
2013-01-03,46,15751.355
2013-01-03,47,18340.204999999998
2013-01-03,48,14350.784029999999
2013-01-03,49,9909.082
2013-01-03,50,11066.46504
2013-01-03,51,11170.057015
2013-01-03,52,0.0
2013-01-03,53,0.0
2013-01-03,54,3901.57
2013-01-04,1,5919.879001
2013-01-04,2,7526.3769999999995
2013-01-04,3,17392.097995
2013-01-04,4,6902.050001
2013-01-04,5,7347.6419905
2013-01-04,6,8869.21198
2013-01-04,7,8096.573018
2013-01-04,8,11124.651
2013-01-04,9,8085.1590002
2013-01-04,10,3381.016
2013-01-04,11,12171.998022
2013-01-04,12,3684.053004
2013-01-04,13,4249.484
2013-01-04,14,5777.688999999999
2013-01-04,15,4825.64699
2013-01-04,16,4616.99
2013-01-04,17,5239.568995
2013-01-04,18,4033.748
2013-01-04,19,3233.503
2013-01-04,20,0.0
2013-01-04,21,0.0
2013-01-04,22,0.0
2013-01-04,23,5620.528
2013-01-04,24,10059.480998
2013-01-04,25,4844.354
